ts,campaign_id,channel,geo,device,impressions,clicks,spend,conversions,revenue,planned_spend
2025-10-28 02:00:00,GOOG-IN-MOB,Google,IN,Mobile,4999,93,8.35302743128452,5,40.0,8.35302743128452
2025-10-28 03:00:00,GOOG-IN-MOB,Google,IN,Mobile,4913,98,5.548708420670307,3,24.0,6.9508679259774135
2025-10-28 04:00:00,GOOG-IN-MOB,Google,IN,Mobile,4984,110,12.508176944820342,5,40.0,8.803304265591722
2025-10-28 05:00:00,GOOG-IN-MOB,Google,IN,Mobile,4882,96,10.156104943388925,3,24.0,9.141504435041023
2025-10-28 06:00:00,GOOG-IN-MOB,Google,IN,Mobile,4922,84,6.314480344542077,4,32.0,8.576099616941233
2025-10-28 07:00:00,GOOG-IN-MOB,Google,IN,Mobile,5162,96,8.343942036333386,0,0.0,8.537406686839926
2025-10-28 08:00:00,GOOG-IN-MOB,Google,IN,Mobile,5042,80,5.541080587782744,2,56.0,8.109360101260329
2025-10-28 09:00:00,GOOG-IN-MOB,Google,IN,Mobile,5106,92,5.722282813515097,0,16.0,7.810975440292175
2025-10-28 10:00:00,GOOG-IN-MOB,Google,IN,Mobile,5009,104,6.000712753903677,6,48.0,7.609835141804563
2025-10-28 11:00:00,GOOG-IN-MOB,Google,IN,Mobile,4977,125,8.095666792988617,7,56.0,7.65841830692297
2025-10-28 12:00:00,GOOG-IN-MOB,Google,IN,Mobile,5075,99,7.785885331118168,5,40.0,7.670006218213442
2025-10-28 13:00:00,GOOG-IN-MOB,Google,IN,Mobile,5144,104,8.294922158204427,2,16.0,7.722082546546024
2025-10-28 14:00:00,GOOG-IN-MOB,Google,IN,Mobile,5004,105,11.458436889563432,4,32.0,8.009494419085824
2025-10-28 15:00:00,GOOG-IN-MOB,Google,IN,Mobile,5031,92,7.411937597978478,2,16.0,7.966811789006728
2025-10-28 16:00:00,GOOG-IN-MOB,Google,IN,Mobile,4944,84,6.826270290241501,5,40.0,7.890775689089046
2025-10-28 17:00:00,GOOG-IN-MOB,Google,IN,Mobile,5111,72,5.608615176995572,5,40.0,7.748140657083204
2025-10-28 18:00:00,GOOG-IN-MOB,Google,IN,Mobile,4969,99,5.7529651350528725,6,48.0,7.630777391081421
2025-10-28 19:00:00,GOOG-IN-MOB,Google,IN,Mobile,5022,90,7.111246306669707,0,8.0,7.601914553058547
2025-10-28 20:00:00,GOOG-IN-MOB,Google,IN,Mobile,4996,82,6.802625456456641,1,48.0,7.559846705868973
2025-10-28 21:00:00,GOOG-IN-MOB,Google,IN,Mobile,5092,104,4.4373754568572545,1,32.0,7.403723143418387
2025-10-28 22:00:00,GOOG-IN-MOB,Google,IN,Mobile,5039,77,4.6937895996027015,2,16.0,7.274678688950974
