ts,campaign_id,channel,geo,device,impressions,clicks,spend,conversions,revenue,planned_spend
2025-10-28 02:00:00,META-US-DESK,Meta,US,Desktop,2924,73,22.039146035237756,1,15.0,22.039146035237756
2025-10-28 03:00:00,META-US-DESK,Meta,US,Desktop,3016,93,36.63914477349575,0,0.0,29.339145404366754
2025-10-28 04:00:00,META-US-DESK,Meta,US,Desktop,2985,85,32.13713696591694,3,45.0,30.271809258216816
2025-10-28 05:00:00,META-US-DESK,Meta,US,Desktop,2989,96,50.366711809964315,4,60.0,35.29553489615369
2025-10-28 06:00:00,META-US-DESK,Meta,US,Desktop,2997,91,42.61803605229457,2,30.0,36.76003512738187
2025-10-28 07:00:00,META-US-DESK,Meta,US,Desktop,2991,98,54.5094518013483,1,15.0,35.17581692293058
2025-10-28 08:00:00,META-US-DESK,Meta,US,Desktop,2978,91,62.26375699857687,3,45.0,34.598111433838845
2025-10-28 09:00:00,META-US-DESK,Meta,US,Desktop,3003,113,55.88505372749913,3,45.0,33.766163362577686
2025-10-28 10:00:00,META-US-DESK,Meta,US,Desktop,3060,93,47.49021625496349,2,30.0,35.291058128398326
2025-10-28 11:00:00,META-US-DESK,Meta,US,Desktop,2996,99,40.00909698433261,2,30.0,35.76286201399176
2025-10-28 12:00:00,META-US-DESK,Meta,US,Desktop,2896,72,38.335891829723636,3,45.0,35.996773815421925
2025-10-28 13:00:00,META-US-DESK,Meta,US,Desktop,2988,97,29.814278556939197,6,90.0,35.48156587721503
2025-10-28 14:00:00,META-US-DESK,Meta,US,Desktop,3004,106,29.36992493453356,1,15.0,35.01143965085492
2025-10-28 15:00:00,META-US-DESK,Meta,US,Desktop,3094,89,34.732217737229035,1,15.0,34.991495228453076
2025-10-28 16:00:00,META-US-DESK,Meta,US,Desktop,2944,85,38.0642577569785,4,60.0,35.196346063688104
2025-10-28 17:00:00,META-US-DESK,Meta,US,Desktop,2926,84,27.835307455028573,3,45.0,34.73628115064688
2025-10-28 18:00:00,META-US-DESK,Meta,US,Desktop,2928,87,25.149964088045472,4,60.0,34.17238014696444
2025-10-28 19:00:00,META-US-DESK,Meta,US,Desktop,2995,65,45.03859015407684,2,30.0,33.52498653196855
2025-10-28 20:00:00,META-US-DESK,Meta,US,Desktop,2975,84,42.77603120545591,3,45.0,32.88619858832431
2025-10-28 21:00:00,META-US-DESK,Meta,US,Desktop,2907,73,60.59042716400371,0,0.0,32.75664933800819
2025-10-28 22:00:00,META-US-DESK,Meta,US,Desktop,3041,93,22.441907414167098,3,45.0,32.265471151158614
2025-10-28 23:00:00,META-US-DESK,Meta,US,Desktop,2992,83,30.011712374864615,1,15.0,32.163027570417974
2025-10-29 00:00:00,META-US-DESK,Meta,US,Desktop,2966,87,39.118827461136746,3,45.0,32.46545365262314
2025-10-29 01:00:00,META-US-DESK,Meta,US,Desktop,2955,86,26.39929804820198,4,60.0,32.21269716910559
2025-10-29 02:00:00,META-US-DESK,Meta,US,Desktop,3027,92,38.46915402455461,1,15.0,32.89728083532713
2025-10-29 03:00:00,META-US-DESK,Meta,US,Desktop,3033,79,35.95217258686669,2,30.0,32.86865699421758
2025-10-29 04:00:00,META-US-DESK,Meta,US,Desktop,3000,91,35.98835220048232,2,30.0,33.02912429565781
2025-10-29 05:00:00,META-US-DESK,Meta,US,Desktop,2996,82,25.494318253941486,4,60.0,31.992774564156857
2025-10-29 06:00:00,META-US-DESK,Meta,US,Desktop,2985,85,21.041961136498447,4,60.0,31.093771442665354
2025-10-29 07:00:00,META-US-DESK,Meta,US,Desktop,3092,116,28.987109150360197,2,30.0,31.165954078068935
2025-10-29 08:00:00,META-US-DESK,Meta,US,Desktop,2981,86,31.296583516805818,1,15.0,31.17281678713216
2025-10-29 09:00:00,META-US-DESK,Meta,US,Desktop,3002,98,33.24855981173028,4,60.0,31.393901493298028
2025-10-29 10:00:00,META-US-DESK,Meta,US,Desktop,2945,82,24.97553762613531,0,0.0,30.45578988376352
2025-10-29 11:00:00,META-US-DESK,Meta,US,Desktop,3048,79,31.355065039034532,3,45.0,30.095205219376098
2025-10-29 12:00:00,META-US-DESK,Meta,US,Desktop,3013,102,33.48977856110374,2,30.0,29.893283833183602
2025-10-29 13:00:00,META-US-DESK,Meta,US,Desktop,2967,91,33.44049672004102,1,15.0,30.044376256646174
